date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:12	111332/111332	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b2e4%22	https://rsms.me/inter/font-files/Inter-LightItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-LightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:12	104332/104332	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1978c%22	https://rsms.me/inter/font-files/Inter-Light.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Light3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:18	150092/150092	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24a4c%22	https://rsms.me/inter/font-files/Inter-LightItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-LightItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:18	98868/98868	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-18234%22	https://rsms.me/inter/font-files/Inter-Regular.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Regular3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:19	133844/133844	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-20ad4%22	https://rsms.me/inter/font-files/Inter-Regular.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Regular3535.woff	(from https://rsms.me/inter/inter.css)
17:10:19	106876/106876	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1a17c%22	https://rsms.me/inter/font-files/Inter-Italic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Italic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:22	144372/144372	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-233f4%22	https://rsms.me/inter/font-files/Inter-Italic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Italic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:22	105924/105924	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19dc4%22	https://rsms.me/inter/font-files/Inter-Medium.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Medium3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:25	112184/112184	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b638%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-MediumItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:25	142552/142552	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-22cd8%22	https://rsms.me/inter/font-files/Inter-Medium.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Medium3535.woff	(from https://rsms.me/inter/inter.css)
17:10:28	105804/105804	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19d4c%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-SemiBold3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:28	150988/150988	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24dcc%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-MediumItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:28	142932/142932	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-22e54%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-SemiBold3535.woff	(from https://rsms.me/inter/inter.css)
17:10:30	151180/151180	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24e8c%22	https://rsms.me/inter/font-files/Inter-SemiBoldItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-SemiBoldItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:30	106140/106140	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19e9c%22	https://rsms.me/inter/font-files/Inter-Bold.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Bold3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:30	112048/112048	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b5b0%22	https://rsms.me/inter/font-files/Inter-SemiBoldItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-SemiBoldItalic3535.woff2	(from https://rsms.me/inter/inter.css)
